,breakdown,auc,disease,Age Range,Gender
202,VD|50-60|Male|All,0.69140625,VD,50-60,Male
203,VD|50-60|Male|All,0.837890625,VD,50-60,Male
204,VD|50-60|Female|Carriers,0.5511111111111111,VD,50-60,Female
205,VD|50-60|Female|Carriers,0.64,VD,50-60,Female
206,VD|50-60|Female|Non Carriers,0.7448979591836734,VD,50-60,Female
207,VD|50-60|Female|Non Carriers,0.7959183673469388,VD,50-60,Female
208,VD|50-60|Female|All,0.7146254458977408,VD,50-60,Female
209,VD|50-60|Female|All,0.7063020214030915,VD,50-60,Female
210,VD|50-60|All|Carriers,0.7051039697542533,VD,50-60,All
211,VD|50-60|All|Carriers,0.4310018903591682,VD,50-60,All
212,VD|50-60|All|Non Carriers,0.8037190082644627,VD,50-60,All
213,VD|50-60|All|Non Carriers,0.7541322314049586,VD,50-60,All
214,VD|50-60|All|All,0.6553086419753086,VD,50-60,All
215,VD|50-60|All|All,0.714074074074074,VD,50-60,All
216,AD|50-70|Male|Carriers,0.6467168714493329,AD,50-70,Male
217,AD|50-70|Male|Carriers,0.628954360623009,AD,50-70,Male
218,AD|50-70|Male|Non Carriers,0.6097129871222962,AD,50-70,Male
219,AD|50-70|Male|Non Carriers,0.60457873916337,AD,50-70,Male
220,AD|50-70|Male|All,0.6413148283418554,AD,50-70,Male
221,AD|50-70|Male|All,0.639444850255661,AD,50-70,Male
222,AD|50-70|Female|Carriers,0.6167302600029191,AD,50-70,Female
223,AD|50-70|Female|Carriers,0.5844748858447488,AD,50-70,Female
224,AD|50-70|Female|Non Carriers,0.6828085513284611,AD,50-70,Female
225,AD|50-70|Female|Non Carriers,0.6463356328119665,AD,50-70,Female
226,AD|50-70|Female|All,0.6240570934256056,AD,50-70,Female
227,AD|50-70|Female|All,0.5948356401384083,AD,50-70,Female
228,AD|50-70|All|Carriers,0.6299869791666667,AD,50-70,All
229,AD|50-70|All|Carriers,0.6039539930555555,AD,50-70,All
230,AD|50-70|All|Non Carriers,0.6115500945179584,AD,50-70,All
231,AD|50-70|All|Non Carriers,0.6332703213610587,AD,50-70,All
232,AD|50-70|All|All,0.6433802816901408,AD,50-70,All
233,AD|50-70|All|All,0.6296092045229121,AD,50-70,All
234,AD|55-70|Male|Carriers,0.5976926221441656,AD,55-70,Male
235,AD|55-70|Male|Carriers,0.5754364184166301,AD,55-70,Male
236,AD|55-70|Male|Non Carriers,0.6457142857142856,AD,55-70,Male
237,AD|55-70|Male|Non Carriers,0.6280272108843536,AD,55-70,Male
238,AD|55-70|Male|All,0.6624645157351728,AD,55-70,Male
239,AD|55-70|Male|All,0.6425322792344557,AD,55-70,Male
240,AD|55-70|Female|Carriers,0.6110039437585734,AD,55-70,Female
241,AD|55-70|Female|Carriers,0.5842121056241426,AD,55-70,Female
242,AD|55-70|Female|Non Carriers,0.6216604424016088,AD,55-70,Female
243,AD|55-70|Female|Non Carriers,0.6406923297902901,AD,55-70,Female
244,AD|55-70|Female|All,0.6060902147800208,AD,55-70,Female
245,AD|55-70|Female|All,0.617313277636344,AD,55-70,Female
246,AD|55-70|All|Carriers,0.6251581153985402,AD,55-70,All
247,AD|55-70|All|Carriers,0.5835005743555819,AD,55-70,All
248,AD|55-70|All|Non Carriers,0.6102475416758834,AD,55-70,All
249,AD|55-70|All|Non Carriers,0.5699893422349132,AD,55-70,All
250,AD|55-70|All|All,0.6054713304267406,AD,55-70,All
251,AD|55-70|All|All,0.6219963832738803,AD,55-70,All
252,AD|60-70|Male|Carriers,0.5855814849179811,AD,60-70,Male
253,AD|60-70|Male|Carriers,0.6222054936013025,AD,60-70,Male
254,AD|60-70|Male|Non Carriers,0.5732809012647466,AD,60-70,Male
255,AD|60-70|Male|Non Carriers,0.580189180571793,AD,60-70,Male
256,AD|60-70|Male|All,0.6009158871882087,AD,60-70,Male
257,AD|60-70|Male|All,0.6211380385487528,AD,60-70,Male
258,AD|60-70|Female|Carriers,0.6012583655386936,AD,60-70,Female
259,AD|60-70|Female|Carriers,0.5990668300499575,AD,60-70,Female
260,AD|60-70|Female|Non Carriers,0.5888723906017993,AD,60-70,Female
261,AD|60-70|Female|Non Carriers,0.5773429993885929,AD,60-70,Female
262,AD|60-70|Female|All,0.6075289122069226,AD,60-70,Female
263,AD|60-70|Female|All,0.6283722401984301,AD,60-70,Female
