,breakdown,auc,disease,Age Range,Gender,fields
160,VD|50-70|All|All,0.6591195322559084,VD,50-70,All,Blood
161,VD|50-70|All|All,0.6432325563396633,VD,50-70,All,Blood
162,VD|55-70|Male|Carriers,0.6203342013888888,VD,55-70,Male,Blood
163,VD|55-70|Male|Carriers,0.5354817708333334,VD,55-70,Male,Blood
164,VD|55-70|Male|Non Carriers,0.6394444444444445,VD,55-70,Male,Blood
165,VD|55-70|Male|Non Carriers,0.6308333333333334,VD,55-70,Male,Blood
166,VD|55-70|Male|All,0.6534763313609466,VD,55-70,Male,Blood
167,VD|55-70|Male|All,0.6630917159763314,VD,55-70,Male,Blood
168,VD|55-70|Female|Carriers,0.6580005745475439,VD,55-70,Female,Blood
169,VD|55-70|Female|Carriers,0.6141195058891123,VD,55-70,Female,Blood
170,VD|55-70|Female|Non Carriers,0.6249307479224377,VD,55-70,Female,Blood
171,VD|55-70|Female|Non Carriers,0.6732409972299168,VD,55-70,Female,Blood
172,VD|55-70|Female|All,0.6506763972944107,VD,55-70,Female,Blood
173,VD|55-70|Female|All,0.6304067283730865,VD,55-70,Female,Blood
174,VD|55-70|All|Carriers,0.6089614813520832,VD,55-70,All,Blood
175,VD|55-70|All|Carriers,0.5992881474364573,VD,55-70,All,Blood
176,VD|55-70|All|Non Carriers,0.6623100936524453,VD,55-70,All,Blood
177,VD|55-70|All|Non Carriers,0.6491987513007285,VD,55-70,All,Blood
178,VD|55-70|All|All,0.6662553888411513,VD,55-70,All,Blood
179,VD|55-70|All|All,0.6364524349850544,VD,55-70,All,Blood
180,VD|60-70|Male|Carriers,0.599952741020794,VD,60-70,Male,Blood
181,VD|60-70|Male|Carriers,0.6127126654064272,VD,60-70,Male,Blood
182,VD|60-70|Male|Non Carriers,0.5507015306122449,VD,60-70,Male,Blood
183,VD|60-70|Male|Non Carriers,0.6393494897959184,VD,60-70,Male,Blood
184,VD|60-70|Male|All,0.6771365960555149,VD,60-70,Male,Blood
185,VD|60-70|Male|All,0.5876552227903579,VD,60-70,Male,Blood
186,VD|60-70|Female|Carriers,0.6318491709452067,VD,60-70,Female,Blood
187,VD|60-70|Female|Carriers,0.6059254271525966,VD,60-70,Female,Blood
188,VD|60-70|Female|Non Carriers,0.643942396617783,VD,60-70,Female,Blood
189,VD|60-70|Female|Non Carriers,0.6630334258158277,VD,60-70,Female,Blood
190,VD|60-70|Female|All,0.6412692628071637,VD,60-70,Female,Blood
191,VD|60-70|Female|All,0.6560027072053312,VD,60-70,Female,Blood
192,VD|60-70|All|Carriers,0.6077572337318383,VD,60-70,All,Blood
193,VD|60-70|All|Carriers,0.6154674389247791,VD,60-70,All,Blood
194,VD|60-70|All|Non Carriers,0.6168516797887427,VD,60-70,All,Blood
195,VD|60-70|All|Non Carriers,0.66428676218886,VD,60-70,All,Blood
196,VD|60-70|All|All,0.6426235465116279,VD,60-70,All,Blood
197,VD|60-70|All|All,0.6311984518658735,VD,60-70,All,Blood
198,VD|50-60|Male|Carriers,0.5,VD,50-60,Male,Blood
199,VD|50-60|Male|Carriers,0.5,VD,50-60,Male,Blood
200,VD|50-60|Male|Non Carriers,0.5,VD,50-60,Male,Blood
201,VD|50-60|Male|Non Carriers,0.5,VD,50-60,Male,Blood
202,VD|50-60|Male|All,0.52734375,VD,50-60,Male,Blood
203,VD|50-60|Male|All,0.75,VD,50-60,Male,Blood
204,VD|50-60|Female|Carriers,0.6488888888888888,VD,50-60,Female,Blood
205,VD|50-60|Female|Carriers,0.6355555555555555,VD,50-60,Female,Blood
206,VD|50-60|Female|Non Carriers,0.47959183673469385,VD,50-60,Female,Blood
207,VD|50-60|Female|Non Carriers,0.461734693877551,VD,50-60,Female,Blood
