,breakdown,auc,disease,Age Range,Gender
207,VD|50-60|Female|Non Carriers,0.7908163265306123,VD,50-60,Female
208,VD|50-60|Female|All,0.807372175980975,VD,50-60,Female
209,VD|50-60|Female|All,0.7800237812128419,VD,50-60,Female
210,VD|50-60|All|Carriers,0.8128544423440454,VD,50-60,All
211,VD|50-60|All|Carriers,0.6332703213610585,VD,50-60,All
212,VD|50-60|All|Non Carriers,0.8822314049586777,VD,50-60,All
213,VD|50-60|All|Non Carriers,0.8161157024793388,VD,50-60,All
214,VD|50-60|All|All,0.7204938271604937,VD,50-60,All
215,VD|50-60|All|All,0.7293827160493828,VD,50-60,All
216,AD|50-70|Male|Carriers,0.7928392125776194,AD,50-70,Male
217,AD|50-70|Male|Carriers,0.7351037125115603,AD,50-70,Male
218,AD|50-70|Male|Non Carriers,0.6680414106556688,AD,50-70,Male
219,AD|50-70|Male|Non Carriers,0.6499452908004377,AD,50-70,Male
220,AD|50-70|Male|All,0.7634477720964208,AD,50-70,Male
221,AD|50-70|Male|All,0.7630679327976626,AD,50-70,Male
222,AD|50-70|Female|Carriers,0.7079919100936177,AD,50-70,Female
223,AD|50-70|Female|Carriers,0.6798023394007632,AD,50-70,Female
224,AD|50-70|Female|Non Carriers,0.672153541424766,AD,50-70,Female
225,AD|50-70|Female|Non Carriers,0.6401885117136807,AD,50-70,Female
226,AD|50-70|Female|All,0.7028979238754325,AD,50-70,Female
227,AD|50-70|Female|All,0.7218512110726643,AD,50-70,Female
228,AD|50-70|All|Carriers,0.7613845486111112,AD,50-70,All
229,AD|50-70|All|Carriers,0.7527777777777778,AD,50-70,All
230,AD|50-70|All|Non Carriers,0.6542344045368621,AD,50-70,All
231,AD|50-70|All|Non Carriers,0.657258979206049,AD,50-70,All
232,AD|50-70|All|All,0.7708411029557627,AD,50-70,All
233,AD|50-70|All|All,0.7646716921245784,AD,50-70,All
234,AD|55-70|Male|Carriers,0.7161349906887312,AD,55-70,Male
235,AD|55-70|Male|Carriers,0.7302760072067708,AD,55-70,Male
236,AD|55-70|Male|Non Carriers,0.6552380952380952,AD,55-70,Male
237,AD|55-70|Male|Non Carriers,0.6421768707482993,AD,55-70,Male
238,AD|55-70|Male|All,0.7408122462684289,AD,55-70,Male
239,AD|55-70|Male|All,0.7707106010195048,AD,55-70,Male
240,AD|55-70|Female|Carriers,0.7236368312757201,AD,55-70,Female
241,AD|55-70|Female|Carriers,0.7177640603566529,AD,55-70,Female
242,AD|55-70|Female|Non Carriers,0.6620224073542086,AD,55-70,Female
243,AD|55-70|Female|Non Carriers,0.6016230968112612,AD,55-70,Female
244,AD|55-70|Female|All,0.7165100935852845,AD,55-70,Female
245,AD|55-70|Female|All,0.707904550181075,AD,55-70,Female
246,AD|55-70|All|Carriers,0.7575459596207912,AD,55-70,All
247,AD|55-70|All|Carriers,0.7601428513961087,AD,55-70,All
248,AD|55-70|All|Non Carriers,0.6413159323533552,AD,55-70,All
249,AD|55-70|All|Non Carriers,0.5682398600414246,AD,55-70,All
250,AD|55-70|All|All,0.7435076463205179,AD,55-70,All
251,AD|55-70|All|All,0.7415568437045844,AD,55-70,All
252,AD|60-70|Male|Carriers,0.7594754993785122,AD,60-70,Male
253,AD|60-70|Male|Carriers,0.7768946622082947,AD,60-70,Male
254,AD|60-70|Male|Non Carriers,0.5428844723137423,AD,60-70,Male
255,AD|60-70|Male|Non Carriers,0.5410776915718993,AD,60-70,Male
256,AD|60-70|Male|All,0.7691503684807256,AD,60-70,Male
257,AD|60-70|Male|All,0.7890359268707483,AD,60-70,Male
258,AD|60-70|Female|Carriers,0.658308982939014,AD,60-70,Female
259,AD|60-70|Female|Carriers,0.7057215571684419,AD,60-70,Female
260,AD|60-70|Female|Non Carriers,0.6193554022185344,AD,60-70,Female
261,AD|60-70|Female|Non Carriers,0.6237225958599005,AD,60-70,Female
262,AD|60-70|Female|All,0.7409792893670446,AD,60-70,Female
263,AD|60-70|Female|All,0.7458379691535078,AD,60-70,Female
264,AD|60-70|All|Carriers,0.7371039010225982,AD,60-70,All
265,AD|60-70|All|Carriers,0.7306249210958212,AD,60-70,All
266,AD|60-70|All|Non Carriers,0.6487648981161092,AD,60-70,All
267,AD|60-70|All|Non Carriers,0.6373269896193772,AD,60-70,All
268,AD|60-70|All|All,0.7554279310827847,AD,60-70,All
269,AD|60-70|All|All,0.754096025413045,AD,60-70,All
270,AD|50-60|Male|Carriers,0.7511111111111111,AD,50-60,Male
271,AD|50-60|Male|Carriers,0.7466666666666667,AD,50-60,Male
272,AD|50-60|Male|Non Carriers,0.5390625,AD,50-60,Male
273,AD|50-60|Male|Non Carriers,0.40625,AD,50-60,Male
274,AD|50-60|Male|All,0.717391304347826,AD,50-60,Male
275,AD|50-60|Male|All,0.8308128544423442,AD,50-60,Male
276,AD|50-60|Female|Carriers,0.5406427221172023,AD,50-60,Female
277,AD|50-60|Female|Carriers,0.5765595463137997,AD,50-60,Female
278,AD|50-60|Female|Non Carriers,0.43767313019390586,AD,50-60,Female
279,AD|50-60|Female|Non Carriers,0.6343490304709142,AD,50-60,Female
280,AD|50-60|Female|All,0.48072562358276644,AD,50-60,Female
281,AD|50-60|Female|All,0.5856009070294784,AD,50-60,Female
282,AD|50-60|All|Carriers,0.6571733713065148,AD,50-60,All
283,AD|50-60|All|Carriers,0.6614453542185831,AD,50-60,All
284,AD|50-60|All|Non Carriers,0.6245674740484429,AD,50-60,All
285,AD|50-60|All|Non Carriers,0.578719723183391,AD,50-60,All
286,AD|50-60|All|All,0.6539833531510107,AD,50-60,All
287,AD|50-60|All|All,0.6949398863786498,AD,50-60,All
288,PD|50-70|Male|Carriers,0.6349099704380544,PD,50-70,Male
289,PD|50-70|Male|Carriers,0.5882827196990056,PD,50-70,Male
290,PD|50-70|Male|Non Carriers,0.6182726326742976,PD,50-70,Male
291,PD|50-70|Male|Non Carriers,0.5896774193548387,PD,50-70,Male
292,PD|50-70|Male|All,0.6127800440511411,PD,50-70,Male
293,PD|50-70|Male|All,0.6063678661262365,PD,50-70,Male
294,PD|50-70|Female|Carriers,0.6072415264706543,PD,50-70,Female
295,PD|50-70|Female|Carriers,0.6094876575099392,PD,50-70,Female
296,PD|50-70|Female|Non Carriers,0.5748865820838139,PD,50-70,Female
297,PD|50-70|Female|Non Carriers,0.6072279892349097,PD,50-70,Female
